candidate,layer,sources,benchmark_results,compute_and_cost,implementation_health,strengths,weaknesses,confidence_status,adapterproof_applicability,external_evidence_closes_decision,disposition
"Current fixed real-server suite","control","tests/test_adapterproof.py; docs/evidence/conformance-report.json","20 deterministic cases across two manifests","Local CPU, seconds","Implemented at c70186d","Exact wire and lifecycle oracle; auditable","No discovery, OpenAPI or long sequences","established local","Mandatory acceptance control","yes for current claims","retain"
"Schemathesis","generation/stateful","https://github.com/schemathesis/schemathesis; QuickREST lineage","Public competition/case evidence; local result absent","Python CLI/library; bounded test budget","e8ac447; active; 10 open issues","Closest runtime fit; Hypothesis generation/shrinking/repro; stateful workflows","Dependent on spec/examples and resettable state","established","A1 first generated candidate","no","experiment"
"RESTler","stateful fuzzing","https://github.com/microsoft/restler-fuzzer","Published producer-consumer sequence results",".NET/Python/Docker; longer runs","6d984de; active; 298 open issues","Strong dependency inference and replay logs","Heavy integration; examples/dependencies can be incomplete","established","Second-line deep-sequence candidate","no","defer after Schemathesis"
"EvoMaster","search/security","https://github.com/WebFuzzing/EvoMaster","Many published REST benchmark and industrial studies","JVM tool; white-box driver optional; long budgets","56a22a0; active","Black/white box, semantic/security oracles, generated tests","Runtime/setup/flakiness and driver burden","established","Escalation for coverage/security gaps","no","defer"
"WuppieFuzz","coverage-guided stateful","https://github.com/TNO-S3/WuppieFuzz; arXiv 2512.15554","Petstore and coverage/power-schedule evaluation","Rust/LibAFL; coverage instrumentation for strongest mode","b6e4ec2; active; young","Coverage-guided sequences and automated harness work","Young tool; mismatch with Python project and limited external corpus","provisional","Benchmark/reference only","no","defer"
"OAI Overlay examples","input augmentation","https://spec.openapis.org/overlay/; arXiv 2607.04325","Industrial five-API EvoMaster study","Low authoring/runtime cost","Overlay spec 2b27df8; active","Portable semantic examples without changing source spec","Examples can bias/overfit and do not add behavioral oracle","provisional","Seed generated tests","yes for augmentation role","include in A1"
"oasdiff","compatibility","https://github.com/oasdiff/oasdiff","Extensive rules/tests; no AdapterProof result","Small CLI/container","fb8babb; active","OpenAPI 3.0/3.1 breaking-change reports","Schema change != consumer/runtime break; version support matters","established","A3 provider evolution gate","yes for spec diff role","prototype"
"Pact Python","consumer contract","https://github.com/pact-foundation/pact-python","Mature consumer-driven ecosystem; no local result","Python plus mock/provider verification; optional broker","7d4c025; active","Captures actual consumer assumptions","Consumer-defined coverage only; broker governance adds cost","established","A3 real-consumer profile","yes for role, no local fit","prototype"
"Prism","mocking","https://github.com/stoplightio/prism","No real-provider conformance proof","Node CLI/service","82b4aa5; active","Spec-driven mock and validation","Mock agreement can be circular; runtime mismatch","established","Development fixture only","yes against final proof","defer"
"WireMock","mocking/faults","https://github.com/wiremock/wiremock","Mature fault/stub behavior","Java service/container","109b55e; active","Rich matching, state and fault simulation","Heavy relative to pytest-httpserver; still not provider","established","Only if current fake lacks required protocol fault","yes for current scope","retain pytest-httpserver"
"Hypothesis","property engine","https://github.com/HypothesisWorks/hypothesis","Large mature property-testing evidence","Python library","5b20755; active","Shrinking, reproducible examples, state machines","Raw integration would duplicate Schemathesis OpenAPI logic","established","Use through Schemathesis; direct for manifest invariants","yes","reuse"
"IcePick/Glacier","formal model/oracle","arXiv 2604.08633; TLA+ tools","EvoMaster benchmark evaluation; scalability limits reported","Model authoring and state exploration","Research artifact not found as maintained general repo in audit","Strong model-state coverage and semantic oracle","High modeling cost/state explosion","provisional","Critical small workflow only","no","defer"
"ARMeta/metamorphic testing","semantic oracle","arXiv 2605.28321","Two public apps; complementary behavior","LLM generation/review cost","Research approach; no mature adopted repo","Addresses oracle problem where exact output unknown","Relations can be wrong; small evidence base","provisional","Reviewed domain relations only","no","defer"
"OWASP ASTF","security","https://github.com/OWASP/www-project-api-security-testing-framework","Live-verified against intentionally vulnerable APIs","Java 21 CLI; authorized targets only","61ec39c; active; v2 family","Multi-principal/API Top 10 cases and reports","Young tool; security findings need manual confirmation","provisional","Dedicated A4 security profile","no","defer until security scope"
"Official protocol suites","protocol","graphql/graphql-http; gRPC interop; AsyncAPI spec","Normative/official conformance surfaces","Protocol-specific runtimes","GraphQL 08b4ed2; AsyncAPI 5648e62","Correct semantics for non-REST APIs","Not reusable as generic REST manifest","established","Route by client protocol","yes","conditional"

